1,27-mar-19,11-Apr-19,0
2,27-mar-19,11-Apr-19,0
3,29-mar-19,13-Apr-19,0
4,27-mar-19,11-Apr-19,0
5,5-Apr-19,20-Apr-19,0
6,3-Apr-19,18-Apr-19,0
7,9-Apr-19,24-Apr-19,0
8,27-feb-19,14-mar.-19,0
9,29-Jan-19,13-feb.-19,0
10,30-Apr-19,15-may.-19,0
11,21-feb.-19,8-mar.-19,0
12,30-Apr-19,15-may.-19,0
13,null,null,0
14,19-Apr-19,4-may-19,0
15,null,null,0
16,null,null,0
17,27-mar-19,11-Apr-19,0
18,null,null,0
19,null,null,0
20,27-mar-19,11-Apr-19,0
21,null,null,0
22,3-may-19,18-may-19,0
23,5-mar-19,20-mar-19,0
24,null,null,0
25,null,null,0
26,27-mar-19,11-Apr-19,0
27,15-feb-19,2-mar-19,0
28,23-Apr-19,8-may-19,0
29,26-mar-19,10-Apr-19,0
30,null,null,0
31,null,null,0
32,24-mar-19,8-Apr-19,0
33,2-mar-19,17-mar-19,0
34,27-mar-19,11-Apr-19,0
35,28-feb-19,15-mar-19,0
36,15-Apr-19,30-Apr-19,0
37,27-mar-19,11-Apr-19,0
38,27-mar-19,11-Apr-19,0
39,27-mar-19,11-Apr-19,0
40,null,null,0
41,27-mar-19,11-Apr-19,0
42,10-Apr-19,25-Apr-19,0
43,15-Apr-19,30-Apr-19,0
44,27-mar-19,11-Apr-19,0
45,null,null,0
46,27-mar-19,11-Apr-19,0
47,23-Apr-19,8-may-19,0
48,null,null,0